 
****************************************
Report : cell
Design : proc
Version: B-2008.09-SP3
Date   : Thu Mar 17 10:45:26 2016
****************************************

Attributes:
    b - black box (unknown)
    h - hierarchical
    n - noncombinational
    r - removable
    u - contains unmapped logic

Cell                      Reference       Library             Area  Attributes
--------------------------------------------------------------------------------
PC[0]                     dff_128                         14.079000 h, n
PC[1]                     dff_129                         14.079000 h, n
PC[2]                     dff_130                         14.079000 h, n
PC[3]                     dff_131                         14.079000 h, n
PC[4]                     dff_132                         14.079000 h, n
PC[5]                     dff_133                         14.079000 h, n
PC[6]                     dff_134                         14.079000 h, n
PC[7]                     dff_135                         14.079000 h, n
PC[8]                     dff_136                         14.548300 h, n
PC[9]                     dff_137                         14.079000 h, n
PC[10]                    dff_138                         14.548300 h, n
PC[11]                    dff_139                         14.079000 h, n
PC[12]                    dff_140                         14.079000 h, n
PC[13]                    dff_141                         14.079000 h, n
PC[14]                    dff_142                         14.079000 h, n
PC[15]                    dff_143                         14.079000 h, n
U135                      INVX4           gscl45nm        3.285100  
U136                      BUFX2           gscl45nm        2.346500  
U137                      INVX2           gscl45nm        1.877200  
U138                      INVX1           gscl45nm        1.407900  
U139                      INVX1           gscl45nm        1.407900  
U140                      INVX1           gscl45nm        1.407900  
U141                      INVX4           gscl45nm        3.285100  
U142                      INVX4           gscl45nm        3.285100  
U143                      INVX4           gscl45nm        3.285100  
U144                      INVX4           gscl45nm        3.285100  
U145                      INVX1           gscl45nm        1.407900  
U146                      INVX1           gscl45nm        1.407900  
U147                      INVX1           gscl45nm        1.407900  
U148                      INVX2           gscl45nm        1.877200  
U149                      INVX2           gscl45nm        1.877200  
U150                      INVX1           gscl45nm        1.407900  
U151                      INVX1           gscl45nm        1.407900  
U152                      INVX2           gscl45nm        1.877200  
U153                      INVX1           gscl45nm        1.407900  
U154                      INVX1           gscl45nm        1.407900  
U155                      INVX1           gscl45nm        1.407900  
U156                      INVX2           gscl45nm        1.877200  
U157                      INVX1           gscl45nm        1.407900  
U158                      INVX1           gscl45nm        1.407900  
U159                      INVX1           gscl45nm        1.407900  
U160                      INVX1           gscl45nm        1.407900  
U161                      INVX1           gscl45nm        1.407900  
U162                      INVX1           gscl45nm        1.407900  
U163                      INVX1           gscl45nm        1.407900  
U164                      INVX1           gscl45nm        1.407900  
U165                      INVX1           gscl45nm        1.407900  
U166                      INVX1           gscl45nm        1.407900  
U167                      INVX1           gscl45nm        1.407900  
U168                      INVX2           gscl45nm        1.877200  
U169                      INVX2           gscl45nm        1.877200  
U170                      INVX2           gscl45nm        1.877200  
U171                      INVX4           gscl45nm        3.285100  
U172                      INVX1           gscl45nm        1.407900  
U173                      INVX1           gscl45nm        1.407900  
U174                      INVX1           gscl45nm        1.407900  
U175                      INVX1           gscl45nm        1.407900  
U176                      BUFX2           gscl45nm        2.346500  
U177                      INVX2           gscl45nm        1.877200  
U178                      AND2X2          gscl45nm        2.815800  
U179                      MUX2X1          gscl45nm        3.754400  
U180                      INVX1           gscl45nm        1.407900  
U181                      BUFX2           gscl45nm        2.346500  
U182                      INVX4           gscl45nm        3.285100  
U183                      BUFX2           gscl45nm        2.346500  
U184                      INVX4           gscl45nm        3.285100  
U185                      INVX4           gscl45nm        3.285100  
U186                      INVX1           gscl45nm        1.407900  
U187                      INVX1           gscl45nm        1.407900  
U188                      MUX2X1          gscl45nm        3.754400  
U189                      BUFX2           gscl45nm        2.346500  
U190                      BUFX2           gscl45nm        2.346500  
U191                      BUFX2           gscl45nm        2.346500  
U192                      MUX2X1          gscl45nm        3.754400  
U193                      BUFX2           gscl45nm        2.346500  
U194                      BUFX2           gscl45nm        2.346500  
U195                      AND2X1          gscl45nm        2.346500  
U196                      BUFX2           gscl45nm        2.346500  
U197                      INVX4           gscl45nm        3.285100  
U198                      BUFX2           gscl45nm        2.346500  
U199                      BUFX2           gscl45nm        2.346500  
U200                      BUFX2           gscl45nm        2.346500  
U201                      BUFX2           gscl45nm        2.346500  
U202                      BUFX2           gscl45nm        2.346500  
U203                      INVX1           gscl45nm        1.407900  
U204                      INVX1           gscl45nm        1.407900  
U205                      INVX1           gscl45nm        1.407900  
U206                      BUFX2           gscl45nm        2.346500  
U207                      BUFX2           gscl45nm        2.346500  
U208                      INVX1           gscl45nm        1.407900  
U209                      INVX1           gscl45nm        1.407900  
U210                      INVX4           gscl45nm        3.285100  
U211                      BUFX2           gscl45nm        2.346500  
U212                      MUX2X1          gscl45nm        3.754400  
U213                      BUFX2           gscl45nm        2.346500  
U214                      INVX1           gscl45nm        1.407900  
U215                      INVX1           gscl45nm        1.407900  
U216                      INVX1           gscl45nm        1.407900  
U217                      INVX1           gscl45nm        1.407900  
U218                      INVX1           gscl45nm        1.407900  
U219                      INVX1           gscl45nm        1.407900  
U220                      INVX1           gscl45nm        1.407900  
U221                      INVX1           gscl45nm        1.407900  
U222                      AND2X2          gscl45nm        2.815800  
U223                      INVX1           gscl45nm        1.407900  
U224                      AND2X2          gscl45nm        2.815800  
U225                      INVX1           gscl45nm        1.407900  
U226                      AND2X2          gscl45nm        2.815800  
U227                      INVX1           gscl45nm        1.407900  
U228                      AND2X2          gscl45nm        2.815800  
U229                      INVX1           gscl45nm        1.407900  
U230                      AND2X2          gscl45nm        2.815800  
U231                      INVX1           gscl45nm        1.407900  
U232                      AND2X2          gscl45nm        2.815800  
U233                      INVX1           gscl45nm        1.407900  
U234                      AND2X2          gscl45nm        2.815800  
U235                      INVX1           gscl45nm        1.407900  
U236                      AND2X2          gscl45nm        2.815800  
U237                      INVX1           gscl45nm        1.407900  
U238                      AND2X2          gscl45nm        2.815800  
U239                      AND2X2          gscl45nm        2.815800  
U240                      AND2X2          gscl45nm        2.815800  
U241                      AND2X2          gscl45nm        2.815800  
U242                      AND2X2          gscl45nm        2.815800  
U243                      AND2X2          gscl45nm        2.815800  
U244                      INVX1           gscl45nm        1.407900  
U245                      AND2X2          gscl45nm        2.815800  
U246                      AND2X2          gscl45nm        2.815800  
U247                      AND2X2          gscl45nm        2.815800  
U248                      INVX1           gscl45nm        1.407900  
U249                      AND2X2          gscl45nm        2.815800  
U250                      INVX1           gscl45nm        1.407900  
U251                      AND2X2          gscl45nm        2.815800  
