/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld.asm SUCCESS CPI:28.8 CYCLES:1673 ICOUNT:58 IHITRATE: 0.0 DHITRATE: 0.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_large.asm SUCCESS CPI:27.4 CYCLES:28373 ICOUNT:1035 IHITRATE: 0.0 DHITRATE: 0.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_large_1.asm SUCCESS CPI:27.4 CYCLES:28373 ICOUNT:1035 IHITRATE: 0.0 DHITRATE: 0.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_large_2.asm SUCCESS CPI:27.4 CYCLES:28373 ICOUNT:1035 IHITRATE: 0.0 DHITRATE: 0.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_large_3.asm SUCCESS CPI:27.4 CYCLES:28373 ICOUNT:1035 IHITRATE: 0.0 DHITRATE: 0.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_large_4.asm SUCCESS CPI:27.4 CYCLES:28373 ICOUNT:1035 IHITRATE: 0.0 DHITRATE: 0.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_large_5.asm SUCCESS CPI:27.4 CYCLES:28373 ICOUNT:1035 IHITRATE: 0.0 DHITRATE: 0.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_large_6.asm SUCCESS CPI:27.4 CYCLES:28373 ICOUNT:1035 IHITRATE: 0.0 DHITRATE: 0.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_large_7.asm SUCCESS CPI:27.4 CYCLES:28373 ICOUNT:1035 IHITRATE: 0.0 DHITRATE: 0.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_large_8.asm SUCCESS CPI:27.4 CYCLES:28373 ICOUNT:1035 IHITRATE: 0.0 DHITRATE: 0.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_large_9.asm SUCCESS CPI:27.4 CYCLES:28373 ICOUNT:1035 IHITRATE: 0.0 DHITRATE: 0.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_small.asm SUCCESS CPI:27.4 CYCLES:28373 ICOUNT:1035 IHITRATE: 0.0 DHITRATE: 0.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_small_1.asm SUCCESS CPI:27.4 CYCLES:28373 ICOUNT:1035 IHITRATE: 0.0 DHITRATE: 0.0
/u/k/a/karu/courses/cs552/spring2013/handouts/testprograms/public/rand_ldst/ldld_rand_small_2.asm SUCCESS CPI:27.4 CYCLES:28373 ICOUNT:1035 IHITRATE: 0.0 DHITRATE: 0.0
